Nuclide,Volume,Surface,Coulomb,Asymmetry,Pairing
Z3_A7,110.25,65.1356,2.23009,3.38571,4.22564
Z4_A9,141.75,77.0161,4.10176,2.63333,3.72667
Z5_A11,173.25,88.0404,6.39394,2.15455,3.3709
Z7_A15,236.25,108.263,12.1084,1.58,2.88666
Z9_A19,299.25,126.743,19.1845,1.24737,2.56487
Z10_A22,346.5,139.755,22.8369,4.30909,2.38358
Z11_A23,362.25,143.959,27.5013,1.03043,2.33119
Z12_A26,409.5,156.22,31.68,3.64615,2.19258
Z13_A27,425.25,160.2,36.972,0.877778,2.15159
Z14_A30,472.5,171.857,41.6454,3.16,2.04118
Z15_A31,488.25,175.655,47.5301,0.764516,2.00799
Z16_A34,535.5,186.813,52.673,2.78824,1.91735
Z17_A37,582.75,197.646,58.037,5.76486,1.83798
Z18_A38,598.5,201.191,64.7137,2.49474,1.81364
Z19_A41,645.75,211.646,70.5182,5.20244,1.74602
Z20_A46,724.5,228.521,75.4051,18.5478,1.6484
Z21_A45,708.75,225.197,83.9553,4.74,1.66662
Z22_A50,787.5,241.583,89.1637,17.064,1.58109
Z23_A51,803.25,244.794,97.013,11.6176,1.56551
Z24_A54,850.5,254.302,103.835,15.8,1.52141
Z25_A55,866.25,257.432,112.176,10.7727,1.50751
Z26_A58,913.5,266.71,119.392,14.7103,1.46801
Z27_A59,929.25,269.766,128.21,10.0424,1.45551
Z28_A62,976.5,278.835,135.809,13.7613,1.41986
Z29_A65,1023.75,287.759,143.589,17.8662,1.38671
Z30_A66,1039.5,290.703,153.064,12.9273,1.37616
Z31_A69,1086.75,299.447,161.214,16.8304,1.34591
Z32_A72,1134,308.065,169.539,21.0667,1.31758
Z33_A75,1181.25,316.564,178.038,25.596,1.29096
Z34_A78,1228.5,324.95,186.709,30.3846,1.26589
Z35_A81,1275.75,333.229,195.549,35.4037,1.24222
Z36_A84,1323,341.407,204.557,40.6286,1.21984
Z37_A85,1338.75,344.112,215.394,33.7376,1.21264
Z38_A88,1386,352.161,224.747,38.7818,1.19179
Z39_A89,1401.75,354.824,236.005,32.2213,1.18508
Z40_A90,1417.5,357.477,247.503,26.3333,1.17848
Z41_A93,1464.75,365.378,257.367,30.8355,1.15931
Z42_A94,1480.5,367.992,269.273,25.2128,1.15313
Z44_A98,1543.5,378.359,291.775,24.1837,1.12935
Z45_A103,1622.25,391.121,300.323,38.8864,1.1016
Z46_A104,1638,393.649,312.965,32.8154,1.09629
Z47_A107,1685.25,401.183,323.79,37.4327,1.08081
Z48_A110,1732.5,408.647,334.768,42.2291,1.06597
Z49_A113,1779.75,416.044,345.898,47.1903,1.05173
Z50_A116,1827,423.375,357.177,52.3034,1.03804
Z51_A121,1905.75,435.455,366.562,70.7083,1.01636
Z52_A122,1921.5,437.851,380.181,62.941,1.01219
Z53_A127,2000.25,449.734,389.835,82.2969,0.992065
Z54_A126,1984.5,447.37,405.897,60.9429,0.995994
Z55_A133,2094.75,463.79,413.69,94.2654,0.969429
Z56_A132,2079,461.462,430.093,71.8182,0.973094
Z57_A139,2189.25,477.635,438.121,106.565,0.948275
Z58_A138,2173.5,475.342,454.862,83.1217,0.951705
Z59_A141,2220.75,482.206,467.459,88.917,0.941526
Z60_A142,2236.5,484.483,482.44,80.7803,0.938205
Z62_A144,2268,489.022,513.023,65.8333,0.931667
Z63_A153,2409.75,509.191,519.244,112.924,0.903849
Z64_A154,2425.5,511.408,534.831,104.034,0.90091
Z65_A159,2504.25,522.418,545.964,125.357,0.886632
Z66_A156,2457,515.826,566.611,87.5077,0.895116
Z67_A165,2598.75,535.479,573.228,138.035,0.870362
Z68_A162,2551.5,528.969,594.221,98.8963,0.878384
Z69_A169,2661.75,544.099,603.391,134.767,0.86
Z70_A168,2646,541.95,622.368,110.6,0.862556
Z71_A175,2756.25,556.902,631.752,147.482,0.845129
Z72_A176,2772,559.021,648.569,137.891,0.842724
Z73_A181,2850.75,569.559,660.641,160.401,0.831003
Z74_A182,2866.5,571.655,677.746,150.534,0.828717
Z75_A185,2913.75,577.92,692.53,156.932,0.82197
Z76_A188,2961,584.151,707.444,163.379,0.815385
Z77_A191,3008.25,590.349,722.486,169.871,0.808956
Z78_A192,3024,592.408,740.209,159.975,0.806847
Z79_A197,3102.75,602.649,752.955,182.983,0.796542
Z80_A196,3087,600.607,773.573,156.71,0.798571
Z81_A203,3197.25,614.824,783.934,196.255,0.784682
Z82_A204,3213,616.841,802.217,185.882,0.782757
