group_id,group_size,group_barycenter_vector,group_metric_energy,group_boundary_pressure,dominant_carrier,helmsman_count_by_carrier
2000,1,-0.462032;2.231806;2.313424;1.194924;2.524095;1.966811;-4.320282;-5.448747,70.56728720064925,9997.000000000002,---,
2001,1,-0.598824;2.163694;2.173921;1.027808;2.396721;1.662692;-4.066433;-4.759580,58.520781943897916,4332.56,Wind,Wind:1
2002,1,-0.666566;2.081295;2.036197;0.893255;2.253977;1.656990;-3.867307;-4.387842,51.75535136417726,2690.414634146342,Wind,Wind:1
2003,1,-0.756281;2.036995;1.969874;0.886920;1.798463;1.581580;-3.691257;-3.826294,43.39011090030622,1316.373493975904,Wind,Wind:1
2004,1,-0.862471;1.932680;1.796801;0.762579;1.899921;1.378062;-3.516599;-3.390973,37.66305228339229,882.8267716535433,Wind,Wind:1
2005,1,-0.768592;1.920375;1.688302;0.505609;1.834866;1.374643;-3.356863;-3.198340,34.13885928339674,707.4049079754601,Hydro,Hydro:1
2006,1,-0.822719;1.848719;1.742766;0.594333;1.825815;1.146149;-3.199019;-3.136044,32.200849848530545,582.1750000000001,Other Fossil,Other Fossil:1
2007,1,-0.845147;1.814640;1.747988;0.365694;1.686008;1.276089;-3.107992;-2.937281,29.954646530075127,510.8701298701299,Hydro,Hydro:1
2008,1,-0.901032;1.850973;1.824032;0.360350;1.569127;1.185022;-3.007612;-2.880860,28.906425290494504,457.0270270270271,Nuclear,Nuclear:1
2009,1,-0.914581;1.816581;1.856285;0.328509;1.688819;0.730040;-2.811537;-2.694118,26.238217006960866,365.25245901639346,Other Fossil,Other Fossil:1
2010,1,-0.937922;1.737221;1.765966;0.461795;1.656778;0.608655;-2.639926;-2.652568,24.350226296029806,294.1577608142493,Solar,Solar:1
2011,1,-1.004014;1.598974;1.885963;0.358917;1.039560;1.039192;-2.359981;-2.558612,21.527052098540867,247.5784753363228,Nuclear,Nuclear:1
2012,1,-0.791583;1.923521;2.187954;0.456586;-0.998701;1.447914;-1.891100;-2.334592,21.442592844757442,234.01268498942912,Nuclear,Nuclear:1
2013,1,-0.787687;1.962185;2.117765;0.442639;-1.249955;1.183898;-1.372975;-2.295871,19.27157107186199,212.0389863547758,Solar,Solar:1
2014,1,3.838856;6.550145;6.787540;5.079515;-33.862438;5.483143;3.835464;2.287775,1326.1876297198894,1000000000000000.5,Nuclear,Nuclear:1
2015,1,-0.530966;1.976385;2.153766;0.571150;-2.372007;0.768094;-0.338401;-2.228022,20.44792196101594,227.90265486725662,Nuclear,Nuclear:1
2016,1,-0.883950;1.776632;2.079649;0.326718;-1.175724;0.528921;-0.279313;-2.372933,15.740383200752449,199.1947565543071,Nuclear,Nuclear:1
2017,1,-0.931108;1.794903;2.039371;0.271688;-0.731087;-0.059674;-0.111069;-2.273024,14.038510169637474,173.1286173633441,Other Fossil,Other Fossil:1
2018,1,-0.950502;1.688999;1.900508;0.195513;-0.304874;-0.243662;-0.084463;-2.201519,12.412464872966288,146.93758480325644,Nuclear,Nuclear:1
2019,1,-0.875500;1.666815;1.839650;0.109667;-0.009131;-0.565514;0.017774;-2.183761,12.030128342135392,140.40214477211796,Other Fossil,Other Fossil:1
2020,1,-0.720340;1.695886;1.880996;0.227136;-0.372595;-0.902595;0.195885;-2.004373,11.994041302274207,120.21759809750299,Nuclear,Nuclear:1
2021,1,-0.698235;1.605384;1.707702;0.129826;-0.133091;-0.804906;0.185392;-1.992072,10.666198611383027,108.4559748427673,Nuclear,Nuclear:1
2022,1,-0.650879;1.576777;1.653133;0.031772;-0.337170;-0.460134;0.227647;-2.041146,10.187232523931812,110.46390658174097,Other Fossil,Other Fossil:1
2023,1,-0.560316;1.491522;1.551043;0.012978;0.051538;-0.816984;0.269867;-1.999647,9.686030711836112,101.07730923694778,Nuclear,Nuclear:1
2024,1,-0.497356;1.477049;1.533823;0.061819;0.128283;-1.094433;0.258305;-1.867490,9.553950823333132,88.07538994800694,Other Fossil,Other Fossil:1
2025,1,-0.353793;1.439665;1.462102;-0.056958;0.184581;-1.125315;0.256044;-1.806327,8.967569951960092,80.14474708171205,Bioenergy,Bioenergy:1
