Country_Year,Surface,Sprinkler,Localized
World_2022,278537,47958.5,19219.7
China_2022,71357.2,3416.46,913.34
India_2022,68172.1,1591.54,636.396
United_States_2022,12078,12780,1850
Least_developed_countries:_UN_classification_2022,11498.2,253.709,92.631
Iran_Islamic_Rep._2022,7951.11,299.557,449.336
Mexico_2022,5843.33,362.879,167.079
Brazil_2022,1739.69,1157.17,2800.14
Italy_2022,1797.66,1853.58,1153.39
South_Africa_2022,212.392,1843.02,2733.38
Egypt_Arab_Rep._2022,2891.08,434.191,497.731
Spain_2022,888.094,884.765,1986.54
Saudi_Arabia_2022,1428.96,1449.2,400.757
Japan_2022,2326.27,497.659,69.4408
France_2022,129,2473,241
Peru_2022,2362,86.87,130.9
Australia_2022,1421.22,406.728,148.254
Turkiye_2022,1147,470,328
Philippines_2022,1872.51,4.52054,10.9699
Ecuador_2022,1330.29,340.838,38.8727
Kazakhstan_2022,1333.2,200.1,79.5
Azerbaijan_2022,852.28,632.515,0.104204
Morocco_2022,1044,125.8,288.2
Syrian_Arab_Republic_2022,1043,187.1,110.9
Algeria_2022,596,409,307
Small_island_developing_states:_UN_classification_2022,1037.99,163.82,59.186
Chile_2022,801.331,57.4,249.828
Argentina_2022,661.809,246.502,187.506
Venezuela_RB_2022,735.5,275.5,44.3
New_Zealand_2022,27.376,662.745,49.041
Ethiopia_2022,630.435,27.6686,0.052246
Germany_2022,58.1576,509.8,44.1
Poland_2022,533.337,25.9658,41.5452
Cuba_2022,388.4,139.1,30.07
Portugal_2022,141.8,168.6,237.4
Bolivia_2022,507.369,32.3657,6.80415
Georgia_2022,357,70.9,28.31
Yemen_Rep._2022,453.8,0.35443,0.485
Tunisia_2022,95,114,204
Malaysia_2022,373,2,5
Guatemala_2022,214.756,102.112,20.6321
Uruguay_2022,272.504,24.5254,27.2504
United_Kingdom_2022,116.562,104.607,5.97754
Moldova_2022,66.4152,140.999,14.5861
Zimbabwe_2022,54.5528,152.748,10.9106
Hungary_2022,8,138,68
Kenya_2022,136.606,42.0182,15.2757
Mali_2022,166.9,0.033,0.136
Costa_Rica_2022,95.29,46.25,18.05
Malawi_2022,77.2,71.1182,8.97416
Romania_2022,46.4707,99.236,0.886036
Bulgaria_2022,104.715,27.2831,3.89759
Oman_2022,58.069,37.7335,27.2269
Nicaragua_2022,55.8638,23.8108,11.9054
Lebanon_2022,57.2235,25.1288,7.64768
Jordan_2022,15.0195,1.6685,72.9244
United_Arab_Emirates_2022,3.522,0.143,54.111
Zambia_2022,32.19,17.57,5.628
Serbia_2022,0.06,50.1,4.4
Eswatini_2022,25.89,20.91,3.051
Jamaica_2022,33.9,9.5,2.454
Cyprus_2022,1.90606,1.90606,34.3129
Czechia_2022,21.2845,10.3919,4.72359
El_Salvador_2022,21.2927,9.19428,1.97254
Panama_2022,23.9,3.74,4.5
Burkina_Faso_2022,25.39,3.9,0.441
West_Bank_and_Gaza_2022,4.74786,2.06429,22.0879
Croatia_2022,24.6135,1.29039,0.0961464
Benin_2022,10.5888,9.59563,2.85559
Guinea_2022,19.93,0.3,0.16
Kuwait_2022,10.7504,2.13585,4.09371
Mauritius_2022,0.237,12.632,1.427
Qatar_2022,9.90812,1.85056,1.44432
Uganda_2022,6.321,2.165,0.23
Namibia_2022,2.95,3.276,1.347
Trinidad_and_Tobago_2022,5.44423,1.33324,0.222522
Botswana_2022,0.591962,2.42216,0.73588
Bahrain_2022,3.14936,0.148643,0.431993
Malta_2022,0.206,0.737,2.698
Togo_2022,2.3,0.55,0.01
Montenegro_2022,0.004,0.904,1.504
Antigua_and_Barbuda_2013,0.000176471,0.00147059,0.367882
Seychelles_2022,0.02,0.04,0.2
