Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2000,3.88,119.95,148.08,5.09,85.06,14.06,0.0,0.0,0.94
2001,4.53,131.46,141.91,4.05,90.09,11.77,0.0,0.0,0.96
2002,5.08,124.28,152.28,4.79,87.85,11.71,0.0,0.0,1.25
2003,6.17,138.46,148.88,3.23,88.69,11.49,0.0,0.0,1.29
2004,7.36,131.79,157.06,4.84,80.0,10.93,0.0,0.0,1.94
2005,9.1,134.64,152.64,4.92,81.62,12.52,0.0,0.01,2.9
2006,9.28,148.85,140.83,4.59,75.45,14.04,0.0,0.01,4.22
2007,9.32,135.94,165.79,5.08,63.03,12.37,0.0,0.01,5.27
2008,9.65,124.38,176.22,5.14,52.49,13.93,0.0,0.02,7.13
2009,10.71,103.04,166.5,5.23,69.1,12.88,0.0,0.02,9.28
2010,12.26,107.59,175.65,3.59,62.14,10.5,0.0,0.04,10.29
2011,13.31,108.44,146.5,5.69,68.98,8.85,0.0,0.24,15.96
2012,14.74,142.79,100.17,5.31,70.41,9.26,0.0,1.35,19.84
2013,18.1,130.26,95.84,4.7,70.61,8.36,0.0,2.01,28.4
2014,22.62,100.24,100.89,5.89,63.75,8.69,0.0,4.05,31.95
2015,29.26,75.88,99.88,6.3,70.34,9.41,0.0,7.53,40.27
2016,30.07,30.67,143.13,5.37,71.73,10.64,0.0,10.41,37.16
2017,31.9,22.53,136.75,5.88,70.34,9.71,0.0,11.46,49.65
2018,35.11,16.83,131.49,5.44,65.06,10.24,0.01,12.67,56.91
2019,37.54,6.92,133.09,5.93,56.18,11.26,0.01,12.42,63.84
2020,38.58,5.7,111.89,6.88,50.24,8.84,0,12.55,75.62
2021,40.01,6.79,122.84,5.42,46.1,9.68,0,12.13,64.93
2022,35.85,5.94,125.11,5.66,47.4,11.07,0,13.34,80.21
2023,34.1,3.78,101.66,5.54,40.6,10.82,0,13.88,82.15
2024,40.09,1.9,86.3,5.76,40.59,11.45,0,14.79,83.28
2025,41.21,0.33,90.91,5.55,36.38,12.77,0,19.32,85.84
