B_volume,B_surface,B_coulomb,B_asymmetry,B_pairing
47.25,37.0254920503239,0.0,7.8999999999999995,0.0
63.0,44.85318937625749,0.8958038664752549,0.0,5.59
110.25,65.1356416384089,2.230085451279714,3.3857142857142857,0.0
141.75,77.0161270544156,4.101757777954269,2.6333333333333333,0.0
173.25,88.04035648982686,6.393942131181503,2.1545454545454543,0.0
189.0,93.29839363383671,9.316735656412627,0.0,3.2273880047700083
236.25,108.26319552120651,12.108447732787525,1.5799999999999998,0.0
283.5,122.25548110469585,15.19264742716782,5.266666666666667,2.635151271221867
299.25,126.74253898845546,19.184518201942677,1.2473684210526315,0.0
346.5,139.75535450760648,22.836938546837946,4.309090909090909,2.3835840088557245
362.25,143.95891330380314,27.501286295775387,1.0304347826086957,0.0
409.5,156.21961660485846,31.68004204321344,3.646153846153846,2.1925783908448975
425.25,160.2,36.972,0.8777777777777778,0.0
472.5,171.85711045980207,41.64541911557923,3.1599999999999997,2.041179397635919
488.25,175.65524877729771,47.530056533052424,0.7645161290322581,0.0
567.0,194.06847931447248,51.678909660146054,10.533333333333333,1.8633333333333333
582.75,197.64590394084476,58.0369521028361,5.764864864864864,0.0
630.0,208.19006296075605,63.61668432320205,9.48,1.767713212034124
645.75,211.64559803633392,70.51817882942042,5.202439024390244,0.0
693.0,221.84779676356314,76.53069168740997,8.618181818181817,1.6854484161896985
708.75,225.19652163556705,83.95528750413612,4.739999999999999,0.0
756.0,235.0972201212974,90.38530554761707,7.8999999999999995,1.6136940023850042
803.25,244.79363409371834,97.0130277190578,11.617647058823529,0.0
850.5,254.30164852530552,103.83507761134386,15.799999999999999,1.5214052957953295
866.25,257.43156405483796,112.17600125208774,10.772727272727273,0.0
913.5,266.70961021185127,119.3915598212002,14.710344827586205,1.468005919371698
929.25,269.76649547323655,128.21023876746597,10.042372881355933,0.0
976.5,278.83532669281817,135.8086711332157,13.761290322580644,1.4198614198621298
1023.75,287.75899413891165,143.5890022508264,17.866153846153846,0.0
1071.0,296.5463690039409,151.5488164860936,22.305882352941175,1.3557741439531013
1086.75,299.4466067473724,161.21403662234582,16.830434782608695,0.0
1134.0,308.0645082176624,169.53932148877647,21.066666666666666,1.3175756356109336
1181.25,316.56350409961556,178.0381602202674,25.596,0.0
1197.0,319.3711855773534,188.33220603551825,19.957894736842103,1.28243395233644
1244.25,327.72134594960346,197.18514691686818,24.3,0.0
1291.5,335.9664449673151,206.20642599919088,28.902439024390244,1.2346244615167843
1338.75,344.11157875427665,215.3942887524093,33.737647058823526,0.0
1354.5,346.8052285906506,226.47595743683132,27.558139534883722,1.2055704044144415
1401.75,354.824288080122,236.00496275634438,32.221348314606736,0.0
1417.5,357.47719534387846,247.50275030437973,26.333333333333332,1.178475474689416
1464.75,365.37764141581476,257.36676633834526,30.83548387096774,0.0
1512.0,373.1935745353468,267.3903133390424,35.55,1.1410539718464972
1527.75,375.7807179414973,279.4667226713001,29.563917525773196,0.0
1575.0,383.4893748256752,289.81713982471706,34.128,1.1179999999999999
1622.25,391.121315930958,300.32331522923755,38.88640776699029,0.0
1669.5,398.67950694218194,310.9839611682718,43.82264150943396,1.0858975941154212
1685.25,401.1829991831813,323.7904468394419,37.43271028037383,0.0
1732.5,408.64713559046874,334.7684084991223,42.22909090909091,1.065971174776572
1779.75,416.04371398679706,345.89751102522087,47.190265486725664,0.0
1795.5,418.4946430800707,359.253273956894,40.74736842105263,1.0471029373483338
1905.75,435.45530173347197,366.5624639278816,70.70826446280991,0.0
1890.0,433.05278208482605,382.28099270657765,50.559999999999995,1.0205896988179595
2000.25,449.73409806851043,389.8350707382179,82.29685039370078,0.0
1953.0,442.62349091807613,408.0674947654752,48.92903225806452,1.0039936383296717
2094.75,463.7896966232642,413.6904573238356,94.26541353383458,0.0
2047.5,456.7889300094193,432.28735611453203,59.06769230769231,0.9805508655852587
2189.25,477.63543157992706,438.121147682412,106.56474820143885,0.0
2142.0,470.73801811420566,457.0806263576652,69.70588235294117,0.9586770909466243
2220.75,482.20614895865066,467.45868717613104,88.91702127659573,0.0
2236.5,484.4833969708104,482.4401175707041,80.78028169014084,0.9382047585756984
2252.25,486.755305548264,497.62860902648924,73.08881118881118,0.0
2268.0,489.0219244187833,513.0231479423991,65.83333333333333,0.9316666666666666
2378.25,504.74415737508275,521.5262715085681,98.09602649006622,0.0
2394.0,506.97015595382186,537.166509654395,89.81052631578946,0.9068177441209626
2504.25,522.4179434330847,545.9638528615084,125.35660377358491,0.0
2457.0,515.8258088794536,566.6114678716583,87.5076923076923,0.895116379770437
2598.75,535.4792319334185,573.2275094744328,138.03454545454545,0.0
2551.5,528.9687452729191,594.2214315655748,98.89629629629628,0.8783837570739557
2661.75,544.0988467385832,603.3908257117462,134.7674556213018,0.0
2646.0,541.9503779046413,622.3675933900704,110.6,0.8625557262880937
2756.25,556.9019023651616,631.7520209729375,147.48171428571428,0.0
2772.0,559.0214180304258,648.5690547301976,137.89090909090908,0.8427242080948493
2850.75,569.5594372156476,660.6408621968685,160.40055248618785,0.0
2835.0,567.4596759435143,680.2470685008491,134.82666666666665,0.8333079996149215
2913.75,577.9201290081462,692.5301321204361,156.93243243243242,0.0
2898.0,575.8356532152125,712.5333267541805,131.89565217391305,0.824200534905875
3008.25,590.3491113129714,722.4860440543252,169.87068062827225,0.0
2992.5,588.2867537125472,742.7974342486884,144.19578947368421,0.8110824476229931
3102.75,602.6486015054993,752.9553428509288,182.98324873096445,0.0
3087.0,600.6074522324672,773.5730333511914,156.71020408163267,0.7985714285714286
3197.25,614.8238331807405,783.9335667617653,196.25467980295565,0.0
3213.0,616.841304949878,802.2167940780489,185.88235294117646,0.7827565669716574
3291.75,626.8796806162585,815.4164153972895,209.6712918660287,0.0
3181.5,612.8030459130939,844.8439972386892,135.62970297029705,0.7866220550084663
3228.75,618.8554828729104,860.9604310834875,141.6219512195122,0.0
3244.5,620.8663883559892,880.0308649245397,132.99611650485437,0.7789475099780285
3291.75,626.8796806162585,896.4069379962563,138.91148325358853,0.0
3339.0,632.8642687181828,912.9063722092582,144.88301886792453,0.7678455524731717
3386.25,638.8206930105681,929.5286772159357,150.90837209302325,0.0
3433.5,644.7494762886861,946.2733712778219,156.98532110091742,0.7572051459330708
3480.75,650.6511245977322,963.1399809684806,163.11176470588234,0.0
3528.0,656.5261279891228,980.1280408924131,169.28571428571428,0.7469951711452262
3543.75,658.4786238462355,1000.1831580778492,160.212,0.0
3591.0,664.3188366683604,1017.424333993709,166.31578947368422,0.7404135875993595
3638.25,670.1334897545088,1034.7856552249673,172.46623376623376,0.0
3685.5,675.9230247658356,1052.266682980314,178.66153846153844,0.7308594636149658
3732.75,681.6878701785668,1069.8669854667667,184.89999999999998,0.0
3780.0,687.4284418392082,1087.5861376722423,191.17999999999998,0.7216658968433153
3827.25,693.1451434897403,1105.4237211586758,197.5,0.0
3843.0,695.0454743614359,1126.4403180794604,188.04590163934424,0.7157261588248885
3890.25,700.730957381085,1144.5251053198633,194.30161943319837,0.0
3937.5,706.3934681258486,1162.7271408174613,200.5968,0.7070852848136496
3984.75,712.033373435669,1181.0460282797583,206.93003952569168,0.0
4032.0,717.6510300201197,1199.4813772103662,213.29999999999998,0.69875
4079.25,723.246784853385,1218.0328027451878,219.7054054054054,0.0
4126.5,728.8209755494499,1236.6999254958157,226.14503816793894,0.6907027066746109
4142.25,730.6743041339342,1258.65680304467,216.3638783269962,0.0
4189.5,736.2202523117817,1277.56573426403,222.74436090225564,0.6854897815441918
4236.75,741.7453896882196,1296.5892826507481,229.15873605947954,0.0
4284.0,747.2500251559153,1315.7270875230115,235.60588235294117,0.6778870719765506
4331.25,752.7344596722278,1334.9787930739756,242.0847272727273,0.0
4378.5,758.1989865472611,1354.3440482453314,248.59424460431654,0.6705318408847472
4425.75,763.6438917184715,1373.8225066059747,255.13345195729536,0.0
4473.0,769.0694540125913,1393.4138262354875,261.7014084507042,0.663410946930364
4520.25,774.4759453955833,1413.117669612177,268.297212543554,0.0
4567.5,779.8636312112924,1432.9337035054234,274.92,0.6565122054174384
4583.25,781.655392404939,1456.182436937102,264.60927835051547,0.0
4630.5,787.0184058679847,1476.2333973887728,271.1795918367347,0.6520308410551412
