Location,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
Azores,0.5029931550,0.0250430634,0.1471140786,0.0730239171,0.1070324926,0.0942057848,0.0016693426,0.0118024348,0.0326280811,0.0044876500
Azores-SaoMiguel,0.6082217449,0.0180791384,0.1737897080,0.0478740606,0.0439128447,0.0248536608,0.0018952965,0.0339891988,0.0445501994,0.0028341479
Canary_Islands,0.4932035303,0.0362463563,0.1449595113,0.0708462437,0.1083574110,0.0837025100,0.0020668345,0.0147799433,0.0379600552,0.0078776044
Cape_Verde_Islands,0.4809325253,0.0410173870,0.1498250083,0.0648363283,0.1203690265,0.0757528308,0.0022325079,0.0169416393,0.0392127438,0.0088800027
Caroline_Islands,0.4674697579,0.0376791198,0.1345141211,0.0862902414,0.1202453680,0.1077867010,0.0020722528,0.0089503600,0.0271487698,0.0078433080
Faroe_Islands,0.5064777767,0.0117598644,0.1563361741,0.0755219958,0.1306699682,0.0956132797,0.0020048122,0.0011957458,0.0195226462,0.0008977369
Galapagos,0.5014733336,0.0199837041,0.1597257565,0.0767608542,0.1152452285,0.0883456188,0.0019647347,0.0041463251,0.0298625971,0.0024918475
Gough,0.5087011673,0.0340139122,0.1483334493,0.0926762081,0.0806361317,0.0744914962,0.0014110227,0.0238268222,0.0292914949,0.0066182955
Hawaii,0.5396821866,0.0245329559,0.1419317109,0.0962402666,0.0754147223,0.0932273190,0.0042458169,0.0042548390,0.0168236863,0.0036464967
Iceland,0.5280413170,0.0221345479,0.1543232454,0.0860514438,0.1072443676,0.0660167942,0.0021852413,0.0039673905,0.0275738997,0.0024617524
Kerguelen,0.6068508332,0.0124636855,0.1889705888,0.0437295810,0.0478540760,0.0166193124,0.0019990959,0.0287007051,0.0509584779,0.0018536441
Marquesas,0.4860819098,0.0346107913,0.1431297700,0.1055592189,0.1014008596,0.0733589506,0.0018622262,0.0173891053,0.0308811944,0.0057259739
Mauritius,0.4774808121,0.0235021664,0.1423624020,0.0954695800,0.1123597515,0.1080591876,0.0017319441,0.0066259731,0.0291276653,0.0032805180
St._Helena,0.4808653349,0.0291663861,0.1464621635,0.1045945828,0.1102429095,0.0834239186,0.0018849282,0.0107351069,0.0274464657,0.0051782038
Tristan_da_Cunha,0.4542857547,0.0390807517,0.1548386326,0.1104860002,0.1137371467,0.0653886510,0.0017722103,0.0222543881,0.0307030380,0.0074534265
