Particle_KE,Gamma,Recoil,Neutrino
9.392857906097066278e-01,4.366037655204838691e-02,1.705383283824503729e-02,0.000000000000000000e+00
1.953905249679897538e-01,2.158770806658130426e-01,1.536491677336747526e-03,5.871959026888604605e-01
9.614929024991747397e-01,2.141872342078179545e-02,1.708837408004349953e-02,0.000000000000000000e+00
2.700892857142856984e-01,2.455357142857142738e-01,2.232142857142857453e-03,4.821428571428571508e-01
9.601073781827056397e-01,2.264703489790937871e-02,1.724558691938501628e-02,0.000000000000000000e+00
9.474670100851299015e-01,3.530631700423141062e-02,1.722667291063872605e-02,0.000000000000000000e+00
9.728048833158174924e-01,8.335612789910884154e-03,1.885950389427160437e-02,0.000000000000000000e+00
9.813587021511234187e-01,3.986022348298632267e-05,1.860143762539362075e-02,0.000000000000000000e+00
1.253840526700804592e-01,2.961960497439648510e-01,2.926115581565472070e-04,5.781272860277980596e-01
9.727884102624874130e-01,1.353913610238786404e-02,1.367245363512472472e-02,0.000000000000000000e+00
3.472496473906910852e-01,2.115655853314526980e-04,0.000000000000000000e+00,6.525387870239773846e-01
9.811395593280842764e-01,1.124486841322412320e-02,7.615572258691469427e-03,0.000000000000000000e+00
3.161879895561357512e-01,4.369016536118364158e-02,2.610966057441253189e-04,6.398607484769364140e-01
2.821092934215105874e-01,6.108597285067872695e-01,0.000000000000000000e+00,1.070309780717020459e-01
9.809084924292297281e-01,1.316655694535878750e-04,1.895984200131665270e-02,0.000000000000000000e+00
