Particle_KE,Gamma,Recoil
9.831381733021077318e-01,1.124121779859484603e-02,5.620608899297423015e-03
7.252747252747252515e-01,2.307692307692307543e-01,4.395604395604395254e-02
9.649522075557578349e-01,3.368229403732361793e-02,1.365498406918525280e-03
9.827124922823626818e-01,1.090759415517596198e-02,6.379913562461411725e-03
9.825995807127884119e-01,1.425576519916142704e-02,3.144654088050314635e-03
9.623818145242405420e-01,3.741701870850935169e-02,2.011667672500502954e-04
9.013136288998357948e-01,8.374384236453202845e-02,1.494252873563218370e-02
9.815208503679475616e-01,1.635322976287816791e-04,1.831561733442354720e-02
6.562500000000000000e-01,3.437500000000000000e-01,9.999999999999999547e-07
4.706601466992665350e-01,5.287286063569682781e-01,6.112469437652811709e-04
9.813609089748499548e-01,1.276650070215753835e-04,1.851142601812843028e-02
2.656250000000000000e-01,7.343750000000000000e-01,9.999999999999999547e-07
9.982803095442820407e-01,1.719690455717970802e-03,9.999999999999999547e-07
9.809506195672275108e-01,1.849454410948769855e-04,1.886443499167745133e-02
9.826108253734999742e-01,1.445015919666911737e-02,2.939015429831007276e-03
8.478260869565217295e-01,1.521739130434782705e-01,9.999999999999999547e-07
5.444287729196051195e-01,4.555712270803949360e-01,9.999999999999999547e-07
9.824275362318841687e-01,1.521739130434782844e-02,2.355072463768116079e-03
9.492402738353649116e-01,4.024044080814827978e-02,1.051928535648689531e-02
9.817330210772833299e-01,1.561280249804839967e-04,1.811085089773614362e-02
9.813232952077601823e-01,1.447806573041841513e-04,1.853192413493557136e-02
5.766550522648082877e-01,4.163763066202089691e-01,6.968641114982577524e-03
6.761313220940550206e-01,3.225377107364684748e-01,1.330967169476486188e-03
9.811257538530266942e-01,1.116819298637480564e-04,1.876256421710967640e-02
9.393032699294721066e-01,4.359905962812567204e-02,1.709767044240222481e-02
7.820512820512820484e-01,2.153846153846153966e-01,2.564102564102564100e-03
9.786407766990290469e-01,5.242718446601941570e-03,1.611650485436893349e-02
9.777777777777777457e-01,2.222222222222222307e-02,9.999999999999999547e-07
9.822677728973483458e-01,8.134049129656742774e-03,9.598177972994956578e-03
9.560127111557116253e-01,4.348553269777554603e-02,5.017561465127947469e-04
9.817160955945868350e-01,1.828390440541318926e-02,9.999999999999999547e-07
9.812674372259864164e-01,1.328550551348478873e-04,1.859970771887870314e-02
7.520117044623262359e-01,2.472567666422823829e-01,7.315288953913679903e-04
9.810398459487482681e-01,6.961931565693971029e-03,1.199822248555769411e-02
1.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999547e-07
